period start,symbol,price,change %,min,max,30d avg
2020-07-03T12:00:09+00:00,BWA,$44.95,52.40%,$27.29,$46.24,$41.49
2020-07-03T12:00:09+00:00,BXP,$59.08,-25.63%,$45.69,$122.08,$52.91
2020-07-03T12:00:09+00:00,BSX,$52.29,46.92%,$33.15,$54.64,$52.51
2020-07-03T12:00:09+00:00,BMY,$62.65,14.37%,$50.73,$79.13,$64.21
2020-07-03T12:00:09+00:00,AVGO,$846.75,190.91%,$279.20,$881.48,$825.20
2020-07-03T12:00:09+00:00,BR,$163.30,33.60%,$118.84,$179.73,$156.54
Could not fetch closing data
2020-07-03T12:00:09+00:00,CHRW,$95.26,27.62%,$74.63,$116.77,$93.94
Could not fetch closing data
2020-07-03T12:00:09+00:00,CDNS,$226.89,129.79%,$98.21,$239.00,$229.64
2020-07-03T12:00:09+00:00,CPB,$45.54,2.05%,$37.83,$56.33,$47.16
2020-07-03T12:00:09+00:00,COF,$108.04,81.74%,$55.37,$171.39,$108.48
2020-07-03T12:00:09+00:00,CAH,$93.97,100.43%,$41.00,$94.63,$88.40
2020-07-03T12:00:09+00:00,KMX,$81.39,-9.95%,$55.69,$154.85,$78.77
2020-07-03T12:00:09+00:00,CCL,$19.04,21.97%,$6.38,$31.31,$14.81
2020-07-03T12:00:09+00:00,CARR,$49.33,112.27%,$22.95,$56.59,$45.98
2020-07-03T12:00:09+00:00,CAT,$245.18,102.69%,$117.51,$263.11,$233.29
2020-07-03T12:00:09+00:00,CBOE,$135.84,42.99%,$78.47,$139.72,$135.55
2020-07-03T12:00:09+00:00,CBRE,$81.87,76.52%,$41.35,$110.30,$77.88
2020-07-03T12:00:09+00:00,CDW,$183.33,61.40%,$105.50,$212.89,$175.96
2020-07-03T12:00:09+00:00,CE,$116.94,38.94%,$78.74,$167.81,$112.38
2020-07-03T12:00:09+00:00,CNC,$66.50,-0.20%,$54.30,$97.22,$66.23
2020-07-03T12:00:09+00:00,CNP,$29.48,62.33%,$17.56,$32.47,$28.92
Could not fetch closing data
Could not fetch closing data
2020-07-03T12:00:09+00:00,CF,$71.85,158.53%,$24.22,$116.65,$67.88
2020-07-03T12:00:09+00:00,SCHW,$56.79,72.63%,$31.88,$93.69,$54.70
2020-07-03T12:00:09+00:00,CHTR,$371.94,-29.33%,$303.35,$821.01,$340.86
2020-07-03T12:00:09+00:00,CVX,$154.22,99.08%,$59.34,$184.34,$155.50
2020-07-03T12:00:09+00:00,CMG,$2077.46,84.51%,$1088.92,$2139.00,$2068.41
2020-07-03T12:00:09+00:00,CB,$191.53,58.91%,$108.51,$229.04,$190.78
2020-07-03T12:00:09+00:00,CHD,$98.97,31.65%,$70.04,$102.57,$95.83
2020-07-03T12:00:09+00:00,CI,$277.12,52.83%,$153.71,$336.27,$266.25
2020-07-03T12:00:09+00:00,CINF,$98.17,55.67%,$62.41,$136.55,$98.62
2020-07-03T12:00:09+00:00,CTAS,$480.24,81.73%,$257.03,$497.08,$482.62
2020-07-03T12:00:09+00:00,CSCO,$50.99,20.43%,$32.85,$60.60,$50.21
2020-07-03T12:00:09+00:00,C,$45.74,-1.50%,$37.12,$74.11,$46.57
2020-07-03T12:00:09+00:00,CFG,$26.93,26.28%,$19.97,$52.89,$26.95
Could not fetch closing data
2020-07-03T12:00:09+00:00,CME,$181.95,22.94%,$134.19,$237.54,$181.55
2020-07-03T12:00:09+00:00,CMS,$59.30,7.67%,$50.46,$70.85,$59.28
2020-07-03T12:00:09+00:00,KO,$59.76,44.75%,$40.08,$63.82,$60.42
2020-07-03T12:00:09+00:00,CTSH,$65.34,21.26%,$51.26,$91.16,$63.41
2020-07-03T12:00:09+00:00,CL,$75.59,10.43%,$67.18,$82.28,$76.25
2020-07-03T12:00:09+00:00,CMCSA,$41.43,10.33%,$28.04,$58.56,$40.26
2020-07-03T12:00:09+00:00,CMA,$44.27,41.57%,$29.17,$94.51,$41.23
2020-07-03T12:00:09+00:00,CAG,$33.22,3.48%,$28.77,$40.24,$34.30
Could not fetch closing data
2020-07-03T12:00:09+00:00,COP,$103.23,181.38%,$25.79,$130.72,$102.10
2020-07-03T12:00:09+00:00,ED,$92.03,40.82%,$60.51,$99.57,$92.26
2020-07-03T12:00:09+00:00,STZ,$253.49,41.83%,$158.84,$259.14,$244.23
2020-07-03T12:00:09+00:00,CPRT,$88.11,107.51%,$40.75,$91.21,$88.20
2020-07-03T12:00:09+00:00,GLW,$34.70,40.76%,$24.34,$43.33,$33.18
2020-07-03T12:00:09+00:00,CTVA,$57.30,115.65%,$24.44,$66.96,$56.72
2020-07-03T12:00:09+00:00,COST,$525.05,76.85%,$296.89,$602.62,$520.56
2020-07-03T12:00:09+00:00,COTY,$12.45,179.78%,$2.65,$12.53,$11.90
2020-07-03T12:00:09+00:00,CCI,$115.53,-26.13%,$109.42,$196.06,$112.83
2020-07-03T12:00:09+00:00,CSX,$33.30,47.56%,$21.70,$37.18,$32.62
2020-07-03T12:00:09+00:00,CMI,$245.80,48.82%,$159.61,$260.41,$229.28
2020-07-03T12:00:09+00:00,CVS,$69.17,15.25%,$52.55,$107.33,$69.37
2020-07-03T12:00:09+00:00,DHI,$115.39,112.79%,$54.23,$123.05,$115.13
2020-07-03T12:00:09+00:00,DHR,$233.08,28.75%,$180.08,$329.99,$235.40
2020-07-03T12:00:09+00:00,DRI,$163.45,137.63%,$65.44,$166.30,$162.33
2020-07-03T12:00:09+00:00,DVA,$103.89,27.91%,$65.42,$133.78,$97.99
